Site.Code,Site.Name,Date.Time,X2.4.D,Ametryn,Atrazine,Chlorpyrifos,Diuron,Fipronil,Fluroxypyr,Haloxyfop..acid.,Hexazinone,Imazapic,Imidacloprid,Isoxaflutole.metabolite..DKN.,MCPA..Monochlorophenoxyacetic.acid.,Metolachlor,Metribuzin,Metsulfuron.methyl,Pendimethalin,Prometryn,Simazine,Tebuthiuron,Terbuthylazine,Triclopyr
130504B,Comet River at Comet Weir,5/2/2015 17:00,0.27,<0.01,2.8,,<0.01,,0.38,<0.01,0.02,,<0.01,<0.01,<0.01,0.8,<0.01,0.01,,<0.01,0.03,0.09,<0.01,<0.01
130504B,Comet River at Comet Weir,6/2/2015 17:00,0.16,<0.01,3.9,,<0.01,,0.59,<0.01,0.02,<0.01,<0.01,0.02,<0.01,1.8,<0.01,<0.01,,0.04,0.06,0.07,<0.01,<0.01
130504B,Comet River at Comet Weir,7/2/2015 17:00,0.05,<0.01,2.1,,0.01,,0.28,<0.01,0.01,<0.01,<0.01,<0.01,<0.01,0.66,<0.01,<0.01,,0.01,0.03,0.05,<0.01,<0.01
130504B,Comet River at Comet Weir,9/2/2015 17:00,0.03,<0.01,2,,<0.01,,0.29,<0.01,0.02,<0.01,<0.01,<0.01,<0.01,0.43,<0.01,<0.01,,<0.01,0.03,0.09,<0.01,<0.01
130504B,Comet River at Comet Weir,11/2/2015 11:00,0.02,<0.01,0.95,,<0.01,,0.17,<0.01,0.02,<0.01,<0.01,<0.01,<0.01,0.27,<0.01,<0.01,,<0.01,0.02,0.09,<0.01,<0.01
130504B,Comet River at Comet Weir,13/2/2015 12:15,0.02,<0.01,0.8,,<0.01,,0.1,<0.01,0.01,<0.01,<0.01,<0.01,<0.01,0.21,<0.01,<0.01,,<0.01,0.02,0.08,<0.01,<0.01
130504B,Comet River at Comet Weir,23/4/2015 11:30,<0.01,<0.01,0.22,,<0.01,,0.04,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,0.04,<0.01,<0.01,,<0.01,<0.01,0.05,<0.01,<0.01
130504B,Comet River at Comet Weir,18/6/2015 11:00,<0.01,<0.01,0.17,,<0.01,,0.01,<0.01,<0.01,<0.01,<0.01,<0.01,0.04,0.03,<0.01,<0.01,,<0.01,<0.01,0.07,<0.01,<0.01
130504B,Comet River at Comet Weir,24/7/2015 11:20,<0.01,<0.01,0.09,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,0.07,<0.01,<0.01,<0.01,<0.01,,<0.01,0.02,0.09,0.48,<0.01
130504B,Comet River at Comet Weir,29/8/2015 11:00,<0.01,<0.01,0.07,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,0.03,0.12,0.04,<0.01
130504B,Comet River at Comet Weir,29/9/2015 10:40,<0.01,<0.01,0.07,,0.02,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,0.03,0.15,0.02,<0.01
130504B,Comet River at Comet Weir,10/11/2015 16:45,<0.01,<0.01,0.06,,0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,0.02,0.13,<0.01,<0.01
130504B,Comet River at Comet Weir,12/1/2016 11:30,0.04,<0.01,0.16,,<0.01,,0.12,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,1.8,<0.01,<0.01,,<0.01,<0.01,0.05,<0.01,<0.01
130504B,Comet River at Comet Weir,2/2/2016 10:30,0.04,<0.01,0.35,,<0.01,,0.14,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,3.6,<0.01,<0.1,,<0.01,<0.01,0.47,<0.01,<0.01
130504B,Comet River at Comet Weir,4/2/2016 9:00,0.05,<0.01,0.2,,<0.01,,0.19,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,0.17,<0.01,<0.1,,<0.01,<0.01,0.04,<0.01,<0.01
130504B,Comet River at Comet Weir,4/2/2016 15:20,0.11,<0.01,0.15,,<0.01,,0.26,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,0.8,<0.01,<0.1,,<0.01,<0.01,0.14,<0.01,<0.01
130504B,Comet River at Comet Weir,5/2/2016 10:40,0.04,<0.01,0.42,,<0.01,,0.11,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,1.1,<0.01,<0.1,,<0.01,<0.01,0.28,<0.01,<0.01
130504B,Comet River at Comet Weir,6/2/2016 13:30,0.06,<0.01,0.12,,0.1,,0.06,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,1.8,<0.01,<0.1,,<0.01,0.03,0.07,0.01,<0.01
130504B,Comet River at Comet Weir,7/2/2016 11:20,0.04,<0.01,1.5,,0.05,,0.27,<0.01,<0.01,0.01,<0.01,<0.01,<0.01,2.5,<0.01,<0.1,,<0.01,0.02,0.1,0.02,<0.01
130504B,Comet River at Comet Weir,10/2/2016 9:15,0.06,<0.01,0.15,,0.04,,0.04,<0.01,<0.01,0.02,<0.01,<0.01,<0.01,1.9,<0.01,<0.1,,<0.01,0.01,0.14,<0.01,<0.01
130504B,Comet River at Comet Weir,14/3/2016 17:30,0.01,<0.01,0.29,,0.02,,0.03,<0.01,0.04,<0.01,<0.01,<0.01,<0.01,0.21,<0.01,<0.01,,<0.01,<0.01,0.09,<0.01,<0.01
130504B,Comet River at Comet Weir,22/3/2016 9:00,1.9,<0.01,2,,0.01,,0.35,0.04,<0.01,0.02,<0.01,<0.01,<0.01,0.7,<0.01,<0.01,,<0.01,<0.01,0.45,<0.01,<0.01
130504B,Comet River at Comet Weir,23/3/2016 10:00,0.32,<0.01,0.18,,<0.01,,0.22,0.01,<0.01,<0.01,<0.01,<0.01,<0.01,0.21,<0.01,<0.01,,<0.01,<0.01,0.14,<0.01,<0.01
130504B,Comet River at Comet Weir,28/4/2016 16:00,0.13,<0.01,0.62,,0.03,,0.19,0.02,<0.01,<0.01,<0.01,<0.01,<0.01,0.1,<0.01,<0.01,,<0.01,<0.01,0.16,<0.01,<0.01
130504B,Comet River at Comet Weir,31/5/2016 11:30,0.06,<0.01,0.46,,0.02,,0.14,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,0.07,<0.01,<0.01,,<0.01,0.01,0.15,<0.01,<0.01
130504B,Comet River at Comet Weir,4/6/2016 16:45,0.06,<0.01,0.41,,0.03,,0.15,0.05,<0.01,<0.01,<0.01,<0.01,<0.01,0.07,<0.01,<0.01,,<0.01,0.01,0.14,<0.01,<0.01
130504B,Comet River at Comet Weir,17/6/2016 11:00,0.043,0.003,0.38,,0.023,,0.17,0.017,0.001,0.001,0.002,<0.001,<0.05,0.07,<0.001,0.001,,<0.001,0.009,0.13,0.004,<0.05
130504B,Comet River at Comet Weir,19/6/2016 16:45,0.038,0.002,0.4,,0.023,,0.16,0.016,0.001,0.001,0.003,<0.001,<0.05,0.075,<0.001,0.004,,<0.001,0.016,0.13,0.012,0.025
130504B,Comet River at Comet Weir,21/6/2016 15:30,0.042,0.002,0.33,,0.022,,0.14,0.016,0.001,0.001,0.002,<0.001,<0.05,0.062,<0.001,0.002,,<0.001,0.014,0.12,0.012,<0.05
130504B,Comet River at Comet Weir,16/7/2016 11:00,0.03,<0.01,0.02,,<0.01,,0.18,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,0.27,<0.01,<0.01,,<0.01,0.72,0.03,0.03,<0.06
130504B,Comet River at Comet Weir,16/7/2016 17:30,0.03,<0.01,0.16,,<0.01,,0.22,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,0.03,<0.01,<0.01,,<0.01,0.02,0.35,0.07,<0.06
130504B,Comet River at Comet Weir,17/7/2016 16:45,2.8,<0.01,0.18,,<0.01,,0.09,0.03,<0.01,<0.01,0.01,0.17,0.54,0.54,<0.01,0.08,,<0.01,7.3,0.03,0.14,0.2
130504B,Comet River at Comet Weir,19/8/2016 9:00,0.013,<0.001,0.01,,<0.001,,0.025,0.003,0.16,0.001,<0.001,0.027,0.022,0.065,<0.001,0.006,,<0.001,0.39,0.051,0.002,0.005
