"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2011-10-05 08:50:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2011-12-19 14:25:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2011-12-30 10:50:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-05 12:00:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-16 16:05:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-17 10:05:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-17 15:15:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-18 10:45:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-19 11:35:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-20 09:55:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-24 13:00:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-27 10:40:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-31 14:15:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-03 10:25:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-06 12:50:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-07 11:45:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-08 11:35:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-09 15:40:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-13 11:40:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-15 13:35:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-17 14:00:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-21 16:00:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-24 14:38:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-27 13:08:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-01 12:25:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-06 11:30:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-08 15:10:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-09 11:10:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-12 10:40:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-15 09:50:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-16 13:55:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-19 09:55:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-20 09:55:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-20 13:40:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-20 16:05:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-21 09:40:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-21 15:00:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-22 11:55:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-23 11:25:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-24 14:40:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-25 13:20:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-26 12:15:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-28 15:10:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-30 11:10:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-04-05 12:10:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-04-11 10:20:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-04-17 11:00:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-04-26 12:15:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-05-01 12:30:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-05-22 11:40:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-06-28 12:35:00,1e-11
"120001A","Burdekin River at Home Hill Inkerman Bridge","2012-2013",2012-07-13 09:20:00,1e-11
